map_id,opportunity_districts,democrat_count,republican_count,median_margin,num_districts,X Value,Y Value
466,3,5,9,-0.07,14,188.85,110.0
467,4,6,8,-0.07,14,225.03,168.09
468,4,6,8,-0.11,14,218.33,175.6
469,3,5,9,-0.06,14,152.54,155.81
470,4,6,8,-0.1,14,220.15,173.99
471,3,6,8,-0.11,14,205.65,176.7
472,2,6,8,-0.03,14,128.08,212.17
473,3,5,9,-0.07,14,188.85,110.0
474,4,5,9,-0.05,14,165.64,156.09
475,2,6,8,-0.03,14,128.08,212.17
476,2,6,8,-0.06,14,133.41,201.75
477,2,7,7,-0.04,14,135.92,216.13
478,3,4,10,-0.12,14,183.47,132.33
479,2,5,9,-0.11,14,134.1,115.3
480,2,5,9,-0.11,14,134.1,115.3
481,2,5,9,-0.09,14,138.87,108.09
482,3,6,8,-0.09,14,208.55,172.69
483,2,5,9,-0.07,14,142.75,100.8
484,3,5,9,-0.11,14,180.27,120.2
485,3,5,9,-0.09,14,184.92,115.37
486,2,7,7,0.0,14,128.53,230.41
487,2,5,9,-0.12,14,131.3,118.83
488,2,5,9,-0.12,14,131.3,118.83
489,3,5,9,-0.07,14,188.85,110.0
490,2,5,9,-0.12,14,131.3,118.83
491,3,5,9,-0.06,14,152.54,155.81
492,4,6,8,-0.04,14,179.94,218.26
493,3,5,9,-0.07,14,188.85,110.0
494,3,6,8,-0.1,14,207.15,174.8
495,3,6,8,-0.08,14,209.86,170.42
496,4,6,8,-0.04,14,179.94,218.26
497,3,6,8,-0.05,14,169.9,215.97
498,4,6,8,-0.09,14,221.87,172.18
499,2,5,9,-0.07,14,142.75,100.8
